index,Instructor Name,Fitness Discipline,Type,Length (minutes),Title
0,Olivia Amato,Cardio,Music HIIT,15,15 min Pop HIIT Cardio
1,Cody Rigsby,Strength,Arms & Light Weights,10,10 min Arms Toning
2,Jess Sims,Strength,Bodyweight,20,20 min Year of Yes Bodyweight Strength
3,Matty Maggiacomo,Strength,Full Body,30,30 min Calvin Harris Full Body Strength
4,Ben Alldis,Strength,Full Body,20,20 min Full Body Strength
5,Chase Tucker,Strength,Full Body,20,20 min Full Body Strength
6,Ben Alldis,Strength,Upper Body,15,15 min Chest & Back Strength
7,Matty Maggiacomo,Strength,Bodyweight,30,30 min Bodyweight Strength
8,Matty Maggiacomo,Strength,Lower Body,20,20 min Glutes & Legs Strength
9,Rebecca Kennedy,Strength,Core,20,20 min Core Strength
10,Adrian Williams,Strength,Bodyweight,20,20 min Year of Yes Bodyweight Strength
11,Leanne Hainsby,Cycling,Warm Up/Cool Down,5,5 min Warm Up Ride
12,Jess King,Cycling,Intervals,15,15 min HIIT Ride
13,Jenn Sherman,Cycling,Theme,60,60 min Football Pregame Ride
14,Chase Tucker,Strength,Upper Body,10,10 min Arms & Shoulders Strength
15,Sam Yo,Cycling,Music,30,30 min 2010s Ride
16,Sam Yo,Cycling,Low Impact,20,20 min Low Impact Ride
17,Ben Alldis,Strength,Upper Body,15,15 min Chest & Back Strength
18,Andy Speer,Strength,Upper Body,20,20 min Chest & Back Strength
19,Sam Yo,Cycling,Intervals,30,30 min Intervals & Arms Ride
20,Sam Yo,Cycling,Warm Up/Cool Down,10,10 min Cool Down Ride
21,Jess Sims,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
22,Andy Speer,Strength,Core,20,20 min Core Strength
23,Andy Speer,Stretching,Full Body Stretch,10,10 min Full Body Stretch
24,Jess King,Cycling,Music,20,20 min Latin Ride
25,Alex Toussaint,Cycling,Warm Up/Cool Down,10,10 min Cool Down Ride
26,Adrian Williams,Strength,Upper Body,15,15 min Arms & Shoulders Strength
27,Sam Yo,Cycling,Low Impact,20,20 min Low Impact Ride
28,Jess King,Cycling,Low Impact,20,20 min Low Impact Ride
29,Ben Alldis,Cycling,Warm Up/Cool Down,10,10 min Cool Down Ride
30,Chase Tucker,Strength,Upper Body,20,20 min Arms & Shoulders Strength
31,Adrian Williams,Strength,Upper Body,10,10 min Chest & Back Strength
32,Jess Sims,Stretching,Upper Body Stretch,5,5 min Upper Body Stretch
33,Olivia Amato,Cycling,Power Zone,30,30 min Power Zone Endurance Ride
34,Sam Yo,Cycling,Low Impact,15,15 min Low Impact Ride
35,Jess King,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
36,Jess Sims,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
37,Adrian Williams,Strength,Full Body,20,20 min Full Body Strength
38,Rebecca Kennedy,Strength,Core,5,5 min Core Strength
39,Ben Alldis,Strength,Lower Body,10,10 min Glutes & Legs Strength
40,Jenn Sherman,Cycling,Theme,60,60 min Football Pregame Ride
41,Alex Toussaint,Cycling,Warm Up/Cool Down,10,10 min Cool Down Ride
42,Jess Sims,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
43,Sam Yo,Cycling,Intervals,30,30 min HIIT & Hills Ride
44,Leanne Hainsby,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
45,Leanne Hainsby,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
46,Selena Samuela,Strength,Full Body,20,20 min Full Body Strength
47,Matty Maggiacomo,Strength,Upper Body,20,20 min Chest & Back Strength
48,Alex Toussaint,Cycling,Music,20,20 min New Tracks Ride
49,Emma Lovewell,Cycling,Low Impact,10,10 min Low Impact Ride
50,Emma Lovewell,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
51,Emma Lovewell,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
52,Sam Yo,Cycling,Music,20,20 min 2010s Ride
53,Emma Lovewell,Cycling,Music,20,20 min EDM Ride
54,Emma Lovewell,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
55,Sam Yo,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
56,Chase Tucker,Strength,Upper Body,10,10 min Arms & Shoulders Strength
57,Matty Maggiacomo,Strength,Upper Body,10,10 min Arms & Shoulders Strength
58,Jess Sims,Stretching,Upper Body Stretch,5,5 min Arms & Shoulders Stretch
59,Jess King,Cycling,Music,45,45 min House Ride
60,Sam Yo,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
61,Emma Lovewell,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
62,Emma Lovewell,Strength,Core,5,5 min Core Strength
63,Chase Tucker,Strength,Full Body,20,20 min Full Body Strength
64,Jess King,Cycling,Theme,30,30 min The Jess King Experience
65,Emma Lovewell,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
66,Emma Lovewell,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
67,,Cycling,Scenic Ride,10,10 min San Francisco Scenic Ride
68,Sam Yo,Cycling,Intervals,45,45 min HIIT & Hills Ride
69,Emma Lovewell,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
70,Leanne Hainsby,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
71,Emma Lovewell,Strength,Core,5,5 min Core Strength
72,Matty Maggiacomo,Strength,Upper Body,30,30 min Chest & Back Strength
73,,Cycling,Scenic Ride,15,15 min Redwood State Park Scenic Ride
74,Ally Love,Cycling,Intervals,30,30 min Tabata Ride
75,Ally Love,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
76,Ally Love,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
77,Hannah Frankson,Cycling,Intervals,30,30 min HIIT & Hills Ride
78,Emma Lovewell,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
79,Emma Lovewell,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
80,Matt Wilpers,Cycling,Music,30,30 min Tiesto Ride
81,Sam Yo,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
82,Sam Yo,Stretching,Pre & Post-Ride Stretch,5,5 min Post-Ride Stretch
83,Matt Wilpers,Cycling,Power Zone,20,20 min FTP Test Ride
84,Denis Morton,Cycling,Power Zone,10,10 min FTP Warm Up Ride
85,Denis Morton,Cycling,Power Zone,20,20 min FTP Test Ride
86,Sam Yo,Cycling,Low Impact,20,20 min Low Impact Ride
87,Sam Yo,Cycling,Warm Up/Cool Down,5,5 min Cool Down Ride
